2026/03/13 00:08:22 age inserted          | id=bd345fd5-0fd2-583f-90d1-5744baefb4ee
2026/03/13 00:08:22 gender inserted       | id=c19f127a-1de3-5198-8942-90c29d25af1d
2026/03/13 00:08:22 social_class inserted | id=acfe05f0-e9b7-5a9a-99d3-8dd63a3fd5d4
2026/03/13 00:08:22 target inserted       | id=f0252517-aa0f-535c-9434-0dc2ae41f98d
2026/03/13 00:08:22 geodata inserted      | id=3611d85f-7e52-5916-9f91-317f68bff53b target_id=f0252517-aa0f-535c-9434-0dc2ae41f98d
2026/03/13 00:08:22 OK | key=e66a56fd-8729-4357-9060-92ac4a27c1b2 partition=0 offset=2279
2026/03/13 00:08:22 age inserted          | id=cc14ac0f-47b4-5e31-bc79-e4d35eddf822
2026/03/13 00:08:22 gender inserted       | id=9f7fcb63-f5aa-5c68-aaf0-7748213edbdf
2026/03/13 00:08:22 social_class inserted | id=c4544d8c-0c49-51c9-8b8a-7c1a8e9ccdfb
2026/03/13 00:08:22 target inserted       | id=8e302701-4a12-5000-a14a-3d02e117fa85
2026/03/13 00:08:22 geodata inserted      | id=ee155df0-a91f-5931-b32b-1a8b4afe9502 target_id=8e302701-4a12-5000-a14a-3d02e117fa85
2026/03/13 00:08:22 OK | key=32da7be9-414d-4d72-b748-b56326237a2d partition=0 offset=2280
2026/03/13 00:08:22 age inserted          | id=460bcb8c-4f5b-5ffb-9c24-f4ba56a721cd
2026/03/13 00:08:22 gender inserted       | id=f437598c-2821-57c1-9e51-ff3d79b6f881
2026/03/13 00:08:22 social_class inserted | id=7af294aa-5bfa-5e54-9a68-a31a3a844142
2026/03/13 00:08:22 target inserted       | id=dae2f4af-6583-5d7b-aa6d-af9ed1fa95d6
2026/03/13 00:08:22 geodata inserted      | id=385812d7-3a96-542f-a39e-42d6ca7203c9 target_id=dae2f4af-6583-5d7b-aa6d-af9ed1fa95d6
2026/03/13 00:08:22 OK | key=764d6a74-ffc7-4aab-a626-dbdca2d8d6b9 partition=0 offset=2281
2026/03/13 00:08:22 age inserted          | id=b065a630-efa2-5820-8046-16d3d6bc0536
2026/03/13 00:08:22 gender inserted       | id=58f21cb7-9fa6-5a76-8fd9-e2d734bc563a
2026/03/13 00:08:22 social_class inserted | id=bfa0963a-b48c-524c-bd5a-c5744fabf69d
2026/03/13 00:08:22 target inserted       | id=854dcb39-b3d9-5a2b-8515-37615e1dfbd6
2026/03/13 00:08:23 geodata inserted      | id=bd72a795-3793-5255-a5ff-af888565bf90 target_id=854dcb39-b3d9-5a2b-8515-37615e1dfbd6
2026/03/13 00:08:23 OK | key=d53662e2-d02c-401a-a0e6-61962969d719 partition=0 offset=2282
2026/03/13 00:08:23 age inserted          | id=4579326c-e924-5997-8715-8cff2df73e88
2026/03/13 00:08:23 gender inserted       | id=ce064813-e879-5f28-bf52-64302b0a50fc
2026/03/13 00:08:23 social_class inserted | id=a1e41795-4cba-5b6b-aa21-0b42f1f5a08d
2026/03/13 00:08:23 target inserted       | id=0a9ebda9-5743-587f-a2e2-eb724e07f026
2026/03/13 00:08:23 geodata inserted      | id=8b282fd2-4982-5a78-ab5d-77bda206117f target_id=0a9ebda9-5743-587f-a2e2-eb724e07f026
2026/03/13 00:08:23 OK | key=8458559c-ce44-468d-a887-ed6d30a343db partition=0 offset=2283
2026/03/13 00:08:23 age inserted          | id=7d4563f8-63f9-5e2c-839a-9dc70d69d6c4
2026/03/13 00:08:23 gender inserted       | id=a6e75b1d-78ec-540f-8822-70669426c0e8
2026/03/13 00:08:23 social_class inserted | id=90b3d0ca-203e-5c9c-940a-7528766eed2b
2026/03/13 00:08:23 target inserted       | id=dab17b80-d1b1-56b6-8409-3d0ad473145c
2026/03/13 00:08:23 geodata inserted      | id=0cd57e68-06e9-50e0-8e3c-77071c69963e target_id=dab17b80-d1b1-56b6-8409-3d0ad473145c
2026/03/13 00:08:23 OK | key=00ce9fab-8c98-4218-8c18-8da1a0685561 partition=0 offset=2284
2026/03/13 00:08:23 age inserted          | id=7b815850-1f89-5501-b465-dd33200d0819
2026/03/13 00:08:23 gender inserted       | id=5cf9bb83-ffa1-5f20-9092-fd52b3a98ce3
2026/03/13 00:08:23 social_class inserted | id=7c904364-4cf0-5268-a945-0efed826c7b4
2026/03/13 00:08:23 target inserted       | id=2556b81a-fb47-5bf0-aed9-59a3b1205c73
2026/03/13 00:08:23 geodata inserted      | id=cc378f8a-b905-5157-aca8-6c4040e6ee97 target_id=2556b81a-fb47-5bf0-aed9-59a3b1205c73
2026/03/13 00:08:23 OK | key=24c9d08d-2c33-4d5c-a4b1-d1ad649a6486 partition=0 offset=2285
2026/03/13 00:08:23 age inserted          | id=98a4fee7-0d26-5237-b51c-0ae8dc85b024
2026/03/13 00:08:23 gender inserted       | id=d7df8684-22a9-52cc-9e8c-22f5a3c6a143
2026/03/13 00:08:23 social_class inserted | id=7bc066ab-2c33-5087-b33a-196cc23a1aad
2026/03/13 00:08:23 target inserted       | id=e69deb09-35a7-53a9-a6f4-47d87bfd0578
2026/03/13 00:08:23 geodata inserted      | id=aa3624f2-bf0c-5131-988e-e90199d30d02 target_id=e69deb09-35a7-53a9-a6f4-47d87bfd0578
2026/03/13 00:08:23 OK | key=b722099d-117b-4086-bdf1-f6102c4396f1 partition=0 offset=2286
2026/03/13 00:08:23 age inserted          | id=5fcf3177-a65d-57f7-a536-10785024e43c
2026/03/13 00:08:23 gender inserted       | id=399259eb-f29f-587c-8ec7-cc499af684f5
2026/03/13 00:08:23 social_class inserted | id=1b9e9ffb-56ff-5967-a65f-abb06795db63
2026/03/13 00:08:23 target inserted       | id=2b0599ef-dd20-5b19-9ac4-bb00b5ca2a97
2026/03/13 00:08:23 geodata inserted      | id=21abbf26-869b-56fd-868c-19bc10678605 target_id=2b0599ef-dd20-5b19-9ac4-bb00b5ca2a97
2026/03/13 00:08:23 OK | key=4e66d108-aa80-4a1f-835d-044683d0f17a partition=0 offset=2287
2026/03/13 00:08:23 age inserted          | id=bf5d64c8-5e57-5fc3-b373-5d0468efb69b
2026/03/13 00:08:23 gender inserted       | id=56a9fe0e-e4b9-5628-9b82-14ea1d5c1e10
2026/03/13 00:08:23 social_class inserted | id=805bc315-881b-5785-8b24-52d19f36bacf
2026/03/13 00:08:23 target inserted       | id=7a391fed-5246-5af3-9214-bc248f474289
2026/03/13 00:08:23 geodata inserted      | id=182867a4-157b-58c8-896a-6ed417cfdeda target_id=7a391fed-5246-5af3-9214-bc248f474289
2026/03/13 00:08:23 OK | key=465dd64d-a169-46a1-b374-d0f8ce6f363e partition=0 offset=2288
2026/03/13 00:08:23 age inserted          | id=f6302ed4-5a3e-5a29-821f-d425abc653cd
2026/03/13 00:08:23 gender inserted       | id=b96f7321-6c56-5be1-ba42-2d6b730083da
2026/03/13 00:08:23 social_class inserted | id=8a598d23-4f44-59ea-8d01-a0eb4a2d7e7b
2026/03/13 00:08:23 target inserted       | id=5ca03629-a6ac-5962-8af9-770d079e1db2
2026/03/13 00:08:23 geodata inserted      | id=468b4887-e894-5955-8136-20a99715796c target_id=5ca03629-a6ac-5962-8af9-770d079e1db2
2026/03/13 00:08:23 OK | key=b9756cfd-3714-4e07-992e-71ae9196a129 partition=0 offset=2289
2026/03/13 00:08:24 age inserted          | id=67b93030-ad79-5d41-b895-80dd468b16de
2026/03/13 00:08:24 gender inserted       | id=7e2e5162-3daf-5b04-bfbe-fe2227d9de53
2026/03/13 00:08:24 social_class inserted | id=d98d7850-16d0-564d-baa0-5b779f577262
2026/03/13 00:08:24 target inserted       | id=0323b907-c88b-59a2-a36c-14cf9d698f38
2026/03/13 00:08:24 geodata inserted      | id=65d83332-27a4-567d-b5e9-bf603ac37d24 target_id=0323b907-c88b-59a2-a36c-14cf9d698f38
2026/03/13 00:08:24 OK | key=90fd5f6e-9ef6-4e54-8619-6c3214664cab partition=0 offset=2290
